time_hour,temp,dewp,humid,wind_dir,wind_speed,pressure
2013-12-29 19:00:00,42,39,88,310,18,999
2013-12-29 20:00:00,42,39,86,310,23,1018
2013-12-29 21:00:00,44,39,86,310,19,1018
2013-12-29 22:00:00,44,37,78,270,10,1004
2013-12-29 23:00:00,44,35,72,290,16,1005
2013-12-30 00:00:00,42,35,75,300,9,1006
2013-12-30 01:00:00,42,35,75,270,11,1008
2013-12-30 02:00:00,39,35,82,260,9,1008
2013-12-30 03:00:00,39,33,81,260,10,1008
2013-12-30 04:00:00,39,35,85,260,9,1009
2013-12-30 05:00:00,37,33,85,230,10,1010
2013-12-30 06:00:00,41,37,85,260,9,1011
2013-12-30 07:00:00,42,37,82,260,9,1012
2013-12-30 08:00:00,42,37,79,260,10,1013
2013-12-30 09:00:00,46,35,67,280,12,1014
2013-12-30 10:00:00,46,35,63,270,16,1014
2013-12-30 11:00:00,42,30,62,330,18,1014
2013-12-30 12:00:00,39,26,57,320,17,1015
2013-12-30 13:00:00,39,23,52,330,17,1016
2013-12-30 14:00:00,37,21,50,330,16,1017
2013-12-30 15:00:00,35,17,47,340,17,1018
2013-12-30 16:00:00,33,15,47,330,19,1019
2013-12-30 17:00:00,32,12,44,320,13,1020
2013-12-30 18:00:00,30,10,42,340,18,1020
